2026-01-21 14:07:52,503 - INFO - Connecting to 149.154.167.51:443/TcpFull...
2026-01-21 14:07:54,164 - INFO - Connection to 149.154.167.51:443/TcpFull complete!
2026-01-21 14:08:09,565 - INFO - Phone migrated to 4
2026-01-21 14:08:09,764 - INFO - Reconnecting to new data center 4
2026-01-21 14:08:09,977 - INFO - Disconnecting from 149.154.167.51:443/TcpFull...
2026-01-21 14:08:09,977 - INFO - Disconnection from 149.154.167.51:443/TcpFull complete!
2026-01-21 14:08:09,977 - INFO - Connecting to 149.154.167.92:443/TcpFull...
2026-01-21 14:08:11,814 - INFO - Connection to 149.154.167.92:443/TcpFull complete!
2026-01-21 14:08:30,963 - INFO - Starting scrape for @chemedtelegram
2026-01-21 14:08:30,966 - INFO - Starting scrape for @lobelia4cosmetics
2026-01-21 14:08:30,966 - INFO - Starting scrape for @tikvahpharma
2026-01-21 14:08:31,075 - ERROR - Error scraping @chemedtelegram: No user has "chemedtelegram" as username
2026-01-21 14:08:31,390 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 14:08:31,687 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 14:08:31,813 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 14:08:32,680 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 14:08:32,861 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 14:08:33,229 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 14:08:33,329 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 14:08:33,400 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 14:08:33,929 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 14:08:34,290 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 14:08:34,460 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 14:08:34,844 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 14:08:34,968 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 14:08:35,093 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
